,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
2,wang cong,0.0,-0.09694805304311281,1.1052631578947367,0.0,1,0.8170469996276599,0.505655896259721,-0.04557891279000281,2024-11-23,0.0,top_ev,0.0,1.1052631578947367
12,chris weidman,0.09186316474771558,0.15847728547800055,1.9090909090909087,-1.0,1,0.6068214352503813,0.4684923460513826,0.2919031360810851,2024-12-07,0.0,top_ev,-0.09186316474771558,1.9090909090909087
9,movsar evloev,0.09186316474771558,0.11517347148332874,1.4444444444444444,-1.0,1,0.7720431725653815,0.4684923460513826,0.2919031360810851,2024-12-07,1.0,top_ev,-0.09186316474771558,1.4444444444444444
1,vitor petrino,0.09855565264340917,0.1172053961118999,1.3278688524590163,-1.0,1,0.8413522118867395,0.5286612884460422,0.15489147676922266,2024-12-14,0.0,top_ev,-0.09855565264340917,1.3278688524590163
6,sean woodson,0.09855565264340917,0.0337324549169542,1.6451612903225803,-1.0,1,0.6283471784789331,0.5286612884460422,0.15489147676922266,2024-12-14,1.0,top_ev,-0.09855565264340917,1.6451612903225803
4,jose johnson,0.011316108810723364,0.03887817905974583,1.6756756756756757,-1.0,1,0.6199756875033967,0.4542670381892699,0.0539750823684515,2025-01-11,0.0,top_ev,-0.011316108810723364,1.6756756756756757
8,cesar almeida,0.011316108810723364,0.014531928394500848,1.3846153846153846,-1.0,1,0.7327175038404729,0.4542670381892699,0.0539750823684515,2025-01-11,1.0,top_ev,-0.011316108810723364,1.3846153846153846
8,grant dawson,0.09847050019523894,0.14512423759091192,1.4081632653061225,1.5816326530612246,1,0.8132041687239809,0.46986956951596903,0.21303062334224654,2025-01-18,1.0,top_ev,0.09847050019523894,1.4081632653061225
0,reinier de ridder,0.09847050019523894,0.059300452756283095,1.8333333333333333,1.5816326530612246,0,0.5778002469579726,0.46986956951596903,0.21303062334224654,2025-01-18,0.0,top_ev,0.09847050019523894,1.8333333333333333
0,nassourdine imavov,0.05588945224434335,0.27475594572202755,2.5,3.583333333333333,0,0.509902378288811,0.31739520219233663,0.4547280100482094,2025-02-01,0.0,top_ev,0.05588945224434335,2.5
5,hamdy abdelwahab,0.05588945224434335,0.14118158454577356,1.8333333333333333,3.583333333333333,1,0.6224626824795129,0.31739520219233663,0.4547280100482094,2025-02-01,1.0,top_ev,0.05588945224434335,1.8333333333333333
4,tom nolan,0.07536407667453389,0.16503627775103447,2.25,2.321428571428572,1,0.517793901222682,0.3917921856255927,0.3013097593992904,2025-02-08,1.0,top_ev,0.07536407667453389,2.25
0,dricus du plessis,0.07536407667453389,0.11696930323175497,1.4761904761904765,2.321428571428572,1,0.7566566247698984,0.3917921856255927,0.3013097593992904,2025-02-08,1.0,top_ev,0.07536407667453389,1.4761904761904765
3,youssef zalal,0.0592187628155537,0.044617822906478505,1.2272727272727273,0.7851239669421488,0,0.8511700779237973,0.6023358653687328,0.07524418941856448,2025-02-15,0.0,top_ev,0.0592187628155537,1.2272727272727273
5,gabriel bonfim,0.0592187628155537,0.029318250024562176,1.4545454545454546,0.7851239669421488,1,0.7076562968918865,0.6023358653687328,0.07524418941856448,2025-02-15,1.0,top_ev,0.0592187628155537,1.4545454545454546
4,anthony hernandez,0.06789380756721869,0.08393368846190918,1.3003003003003002,1.3005313005313002,0,0.8336025825815607,0.4892022751454563,0.1254251462632474,2025-02-22,0.0,top_ev,0.06789380756721869,1.3003003003003002
3,melquizael costa,0.06789380756721869,0.03827859420091856,1.7692307692307692,1.3005313005313002,0,0.5868531184613888,0.4892022751454563,0.1254251462632474,2025-02-22,0.0,top_ev,0.06789380756721869,1.7692307692307692
6,danny silva,0.07574893582877579,0.10539000827048323,1.4,1.6068965517241374,1,0.7895642916217738,0.44429920509430687,0.1582420656941239,2025-03-01,1.0,top_ev,0.07574893582877579,1.4
