date,fighter_red,fighter_blue,winner
2025-08-09,uros medic,gilbert urbina,1.0
2025-08-16,chase hooper,alexander hernandez,0.0
2025-08-16,dricus du plessis,khamzat chimaev,0.0
2025-08-16,edson barboza,drakkar klose,0.0
2025-08-16,geoff neal,carlos prates,0.0
2025-08-16,gerald meerschaert,michal oleksiejczuk,0.0
2025-08-16,jared cannonier,michael page,0.0
2025-08-16,jessica andrade,loopy godinez,0.0
2025-08-16,karine silva,dione barbosa,1.0
2025-08-16,tim elliott,kai asakura,1.0
2025-08-23,charles johnson,loneer kavanagh,1.0
2025-08-23,johnny walker,zhang mingyang,1.0
2025-08-23,maheshate,gauge young,0.0
2025-08-23,michel pereira,kyle daukaus,0.0
2025-08-23,rongzhu,austin hubbard,1.0
2025-08-23,sergei pavlovich,waldo cortes acosta,1.0
2025-08-23,sumudaerji,kevin borjas,1.0
2025-08-23,uran satybaldiev,diyar nurgozhay,1.0
2025-08-23,yizha,westin wilson,1.0
2025-09-06,andreas gustafsson,rinat fakhretdinov,0.0
2025-09-06,benoit st denis,mauricio ruffy,1.0
2025-09-06,bolaji oki,mason jones,0.0
2025-09-06,modestas bukauskas,paul craig,1.0
2025-09-06,nassourdine imavov,caio borralho,1.0
2025-09-06,oumar sy,brendson ribeiro,1.0
2025-09-06,sam patterson,trey waters,1.0
2025-09-06,shauna bannon,sam hughes,0.0
2025-09-13,alexander hernandez,diego ferreira,1.0
2025-09-13,claudio puelles,joaquim silva,0.0
2025-09-13,diego lopes,jean silva,1.0
2025-09-13,jesus aguilar,luis gurule,1.0
2025-09-13,jose daniel medina,dusko todorovic,0.0
2025-09-13,kelvin gastelum,dustin stoltzfus,1.0
2025-09-13,rafa garcia,jared gordon,1.0
2025-09-13,rob font,david martinez,0.0
2025-09-13,tatiana suarez,amanda lemos,1.0
2025-09-27,carlos ulberg,dominick reyes,1.0
2025-09-27,jack jenkins,ramon taveras,1.0
2025-09-27,jake matthews,neil magny,0.0
2025-09-27,jamie mullarkey,rolando bedoya,1.0
2025-09-27,jimmy crute,ivan erslan,1.0
2025-09-27,loma lookboonmee,alexia thainara,0.0
2025-09-27,navajo stirling,rodolfo bellato,1.0
2025-09-27,tom nolan,charlie campbell,1.0
2025-10-04,chris gutierrez,farid basharat,0.0
2025-10-04,daniel santos,joosang yoo,1.0
2025-10-04,edmen shahbazyan,andre muniz,1.0
2025-10-04,jiri prochazka,khalil rountree jr,1.0
2025-10-04,josh emmett,youssef zalal,0.0
2025-10-04,macy chiasson,yana santos,0.0
2025-10-04,magomed ankalaev,alex pereira,0.0
2025-10-04,merab dvalishvili,cory sandhagen,1.0
2025-10-04,punahele soriano,nikolay veretennikov,1.0
2025-10-11,charles oliveira,mateusz gamrot,1.0
2025-10-11,deiveson figueiredo,montel jackson,1.0
2025-10-11,jafel filho,clayton carpenter,1.0
2025-10-11,jhonata diniz,mario pinto,0.0
2025-10-11,julia polastri,karolina kowalkiewicz,1.0
2025-10-11,luan lacerda,saimon oliveira,1.0
2025-10-11,lucas almeida,michael aswell jr,0.0
2025-10-11,lucas rocha,stewart nicoll,1.0
2025-10-11,ricardo ramos,kaan ofli,0.0
2025-10-11,vicente luque,joel alvarez,0.0
2025-10-11,vitor petrino,thomas petersen,1.0
2025-10-18,bruno silva,hyunsung park,1.0
2025-10-18,charles jourdain,davey grant,1.0
2025-10-18,cody gibson,aoriqileng,0.0
2025-10-18,kevin holland,mike malott,0.0
2025-10-18,kyle nelson,matt frevola,1.0
2025-10-18,kyle prepolec,drew dober,0.0
2025-10-18,manon fiorot,jasmine jasudavicius,1.0
2025-10-18,marlon vera,aiemann zahabi,0.0
2025-10-18,reinier de ridder,brendan allen,0.0
2025-10-18,stephanie luciano,ravena oliveira,1.0
2025-10-25,aleksandar rakic,azamat murzakanov,0.0
2025-10-25,alexander volkov,jailton almeida,1.0
2025-10-25,azat maksum,mitch raposo,0.0
2025-10-25,hamdy abdelwahab,chris barnett,1.0
