date,bin_low_pct,bin_high_pct,units,n_scenarios,sample_min,p05,median,p95,sample_max
2024-08-03,85,90,percent_of_opening_ev,265,39.46312805374354,42.58758348681485,45.32338895710288,47.689503553903336,48.92450443052782
2024-08-03,90,95,percent_of_opening_ev,202,38.25744976028993,43.80462662247782,46.63682505488926,48.23268424212342,49.119210492261274
2024-08-03,95,100,percent_of_opening_ev,263,43.948259293500485,46.57152653914426,48.05181295996299,48.5476541890712,48.83197670330478
2024-08-10,0,5,percent_of_opening_ev,219,13.426882519647478,13.426882519647478,13.641061023141948,15.34925677637276,17.76095428346828
2024-08-10,5,10,percent_of_opening_ev,264,13.426882519647478,13.426882519647478,14.701356356987008,18.153457643691542,22.69584479815752
2024-08-10,10,15,percent_of_opening_ev,246,13.426882519647478,13.89356450486602,16.15337746751641,21.277198771834968,25.627403539758323
2024-08-10,15,20,percent_of_opening_ev,253,13.426882519647478,14.491438069879463,17.834807278411837,24.276139175826867,27.34929470049637
2024-08-10,20,25,percent_of_opening_ev,244,13.641061023141948,15.653530682340813,19.533940887370456,26.72738853762631,29.9536423105622
2024-08-10,25,30,percent_of_opening_ev,247,13.426882519647478,17.502657886097342,21.82422752775855,28.456559423667578,32.336866526881636
2024-08-10,30,35,percent_of_opening_ev,247,14.324152872067772,18.877714483325757,23.813506151040556,30.130483138912997,34.84544651085433
2024-08-10,35,40,percent_of_opening_ev,269,16.847348607449437,21.77966618091947,26.50859606205779,33.81575371189996,41.28717587574401
2024-08-10,40,45,percent_of_opening_ev,289,17.575955578057116,24.6512306005736,28.946528163135785,36.3694347217667,43.10414377847207
2024-08-10,45,50,percent_of_opening_ev,267,18.213778887836245,25.199934038541052,31.673580711338936,37.84349635452997,45.30619220804956
2024-08-10,50,55,percent_of_opening_ev,247,23.540557086052097,29.108285367622507,34.86832652015242,42.216948299313174,48.847909390443924
2024-08-10,55,60,percent_of_opening_ev,248,24.01958584915272,31.540790076569387,37.3944436255628,45.404042290187,51.24937371713728
2024-08-10,60,65,percent_of_opening_ev,235,28.941407843324438,34.26080130100607,40.54402844399068,46.222801092637326,55.502877475416206
2024-08-10,65,70,percent_of_opening_ev,234,31.15085332806962,36.96756024385039,43.247931338893096,49.89388848742858,59.345266813060725
2024-08-10,70,75,percent_of_opening_ev,264,36.44365502017442,40.945445731132246,46.25977562087482,53.046214050335905,56.24824230394839
2024-08-10,75,80,percent_of_opening_ev,252,37.94074329983394,42.566418084003814,48.76469025783272,54.91214814650451,58.90795372149885
2024-08-10,80,85,percent_of_opening_ev,257,41.7192374890945,45.573386100805585,51.817403119969725,57.49756435608495,60.209480534185055
2024-08-10,85,90,percent_of_opening_ev,237,44.2787058202491,49.83737050045157,54.440124160847645,58.86399537406872,60.70895260059894
2024-08-10,90,95,percent_of_opening_ev,239,49.73976400478895,53.28961148780501,57.163057432638865,59.963882943112324,60.816703119227924
2024-08-10,95,100,percent_of_opening_ev,242,55.44711712421748,57.29627736675028,59.726484041940914,60.76474509458595,60.82142204333594
2024-08-17,0,5,percent_of_opening_ev,272,40.323778908962886,40.323778908962886,40.93959664093816,42.74650400863836,45.59085358631144
2024-08-17,5,10,percent_of_opening_ev,261,40.323778908962886,40.38077987132735,42.5984985874883,45.304703169417806,49.911897784007394
2024-08-17,10,15,percent_of_opening_ev,227,40.323778908962886,41.04989788532472,44.33916431546013,47.575563774924944,52.32931047303773
2024-08-17,15,20,percent_of_opening_ev,221,40.44793183687062,42.9589769794569,46.06754781550203,50.43269246003548,53.59885697224886
2024-08-17,20,25,percent_of_opening_ev,226,40.5720528506704,43.079411339456065,47.477931187588126,52.0086763480379,57.167320616362325
2024-08-17,25,30,percent_of_opening_ev,248,42.29216983790073,44.51689241815333,48.93270682145029,53.52322510124554,58.017837791298206
2024-08-17,30,35,percent_of_opening_ev,253,41.045874602009505,44.688829676508135,50.481885717990416,55.13620259870374,59.618940331541424
2024-08-17,35,40,percent_of_opening_ev,249,41.52794601627797,47.3889242839701,52.273509190980526,56.96331952653687,62.55845870464805
2024-08-17,40,45,percent_of_opening_ev,220,46.26762072224201,48.25832892793825,53.50329799478645,57.009058172340026,65.54538273825088
2024-08-17,45,50,percent_of_opening_ev,271,43.26606688195142,49.676986604813735,55.10879339875696,59.73390065184787,64.51070597152591
