date,fighter_red,fighter_blue,pred_winner_close,winner_close,close1_red,close1_blue,pred_winner_open,winner_open,open_red,open_blue,choice_fighter,close_american,same_choice_open_american,open_pick_american,close_decimal,same_choice_open_decimal,open_pick_decimal,close_win,open_win,odds_type,bin_low,close2_red,close2_blue
2024-10-05,austin hubbard,alexander hernandez,1,0.0,-114.0,-110.0,0,0.0,170.0,-215.0,austin hubbard,-114.0,170.0,-215.0,1.8771929824561404,2.7,1.4651162790697674,False,True,close1,-150,,
2024-10-05,carla esparza,tecia pennington,1,0.0,135.0,-195.0,1,0.0,-150.0,110.0,carla esparza,135.0,-150.0,-150.0,2.35,1.6666666666666665,1.6666666666666665,False,False,close1,100,,
2024-10-05,cesar almeida,ihor potieria,1,1.0,-500.0,300.0,1,1.0,-333.0,250.0,cesar almeida,-500.0,-333.0,-333.0,1.2,1.3003003003003002,1.3003003003003002,True,True,close1,-500,,
2024-10-05,court mcgee,tim means,0,1.0,155.0,-218.0,0,1.0,190.0,-230.0,tim means,-218.0,-230.0,-230.0,1.4587155963302751,1.434782608695652,1.434782608695652,False,False,close1,-250,,
2024-10-05,jose aldo,mario bautista,0,0.0,100.0,-138.0,0,0.0,130.0,-175.0,mario bautista,-138.0,-175.0,-175.0,1.7246376811594204,1.5714285714285714,1.5714285714285714,True,True,close1,-150,,
2024-10-05,ketlen vieira,kayla harrison,0,0.0,600.0,-1115.0,0,0.0,400.0,-649.0,kayla harrison,-1115.0,-649.0,-649.0,1.0896860986547086,1.1540832049306626,1.1540832049306626,True,True,close1,-1150,,
2024-10-05,marina rodriguez,iasmin lucindo,0,0.0,150.0,-195.0,0,0.0,-110.0,-120.0,iasmin lucindo,-195.0,-120.0,-120.0,1.5128205128205128,1.8333333333333335,1.8333333333333335,True,True,close1,-200,,
2024-10-05,raquel pennington,julianna pena,1,0.0,-175.0,126.0,1,0.0,-175.0,130.0,raquel pennington,-175.0,-175.0,-175.0,1.5714285714285714,1.5714285714285714,1.5714285714285714,False,False,close1,-200,,
2024-10-05,roman dolidze,kevin holland,0,1.0,114.0,-163.0,0,1.0,120.0,-163.0,kevin holland,-163.0,-163.0,-163.0,1.6134969325153374,1.6134969325153374,1.6134969325153374,False,False,close1,-200,,
2024-10-05,ryan spann,ovince st preux,1,1.0,-230.0,170.0,1,1.0,-330.0,260.0,ryan spann,-230.0,-330.0,-330.0,1.434782608695652,1.303030303030303,1.303030303030303,True,True,close1,-250,,
2024-10-05,stephen thompson,joaquin buckley,0,0.0,175.0,-230.0,0,0.0,110.0,-150.0,joaquin buckley,-230.0,-150.0,-150.0,1.434782608695652,1.6666666666666665,1.6666666666666665,True,True,close1,-250,,
2024-10-12,brad tavares,junyong park,0,0.0,163.0,-240.0,0,0.0,130.0,-175.0,junyong park,-240.0,-175.0,-175.0,1.4166666666666667,1.5714285714285714,1.5714285714285714,True,True,close1,-250,,
2024-10-12,brandon royval,tatsuro taira,0,1.0,235.0,-333.0,0,1.0,150.0,-195.0,tatsuro taira,-333.0,-195.0,-195.0,1.3003003003003002,1.5128205128205128,1.5128205128205128,False,False,close1,-350,,
2024-10-12,chidi njokuani,jared gooden,1,1.0,-175.0,118.0,1,1.0,-188.0,140.0,chidi njokuani,-175.0,-188.0,-188.0,1.5714285714285714,1.5319148936170213,1.5319148936170213,True,True,close1,-200,,
2024-10-12,daniel rodriguez,alex morono,1,1.0,-250.0,170.0,1,1.0,-200.0,150.0,daniel rodriguez,-250.0,-200.0,-200.0,1.4,1.5,1.5,True,True,close1,-250,,
2024-10-12,grant dawson,rafa garcia,1,1.0,-400.0,255.0,1,1.0,-350.0,240.0,grant dawson,-400.0,-350.0,-350.0,1.25,1.2857142857142856,1.2857142857142856,True,True,close1,-400,,
2024-10-12,jonathan pearce,pat sabatini,1,0.0,-188.0,138.0,1,0.0,-175.0,130.0,jonathan pearce,-188.0,-175.0,-175.0,1.5319148936170213,1.5714285714285714,1.5714285714285714,False,False,close1,-200,,
2024-10-12,julia polastri,cory mckenna,1,1.0,-125.0,-112.0,1,1.0,-148.0,124.0,julia polastri,-125.0,-148.0,-148.0,1.8,1.6756756756756757,1.6756756756756757,True,True,close1,-150,,
2024-10-12,themba gorimbo,niko price,1,1.0,-400.0,235.0,1,1.0,-275.0,200.0,themba gorimbo,-400.0,-275.0,-275.0,1.25,1.3636363636363638,1.3636363636363638,True,True,close1,-400,,
